DRed 10000
   , INSERTION TIME , DELETION TIME 
0  ,  142052-83413  , 76614-43765
50 ,  144175-80450  , 65490-42262
100,  132797-76982  , 73727-61273



Us 10000
   , INSERTION TIME , DELETION TIME 
0  , 425865-44754 , 52347-25087
50 , 313736-58813 , 39069-21761
100, 240051-78138 , 43896-35054
